recipe_id,name,ingredients,prep_time_minutes,servings,nutrients,tags,difficulty
r1,Tomato Pasta,"[{'ingredient_name':'tomato','quantity':200},{'ingredient_name':'pasta','quantity':100},{'ingredient_name':'cheese','quantity':50}]",20,2,"{cal:500,protein:18,fat:10,carb:70}","['italian','dinner']","easy"
r2,Fried Rice,"[{'ingredient_name':'rice','quantity':150},{'ingredient_name':'egg','quantity':2},{'ingredient_name':'soy_sauce','quantity':20}]",15,2,"{cal:450,protein:16,fat:8,carb:65}","['asian','lunch']","easy"
r3,Vegetable Soup,"[{'ingredient_name':'carrot','quantity':100},{'ingredient_name':'potato','quantity':100},{'ingredient_name':'onion','quantity':50}]",25,3,"{cal:250,protein:5,fat:3,carb:40}","['healthy','dinner','vegetarian']","easy"
r4,Cheese Sandwich,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'cheese','quantity':40},{'ingredient_name':'butter','quantity':10}]",10,1,"{cal:300,protein:10,fat:15,carb:30}","['breakfast','snack']","easy"
r5,Omelette,"[{'ingredient_name':'egg','quantity':2},{'ingredient_name':'onion','quantity':30},{'ingredient_name':'tomato','quantity':50}]",10,1,"{cal:200,protein:12,fat:8,carb:6}","['breakfast']","easy"
r6,Chicken Stir Fry,"[{'ingredient_name':'chicken','quantity':150},{'ingredient_name':'onion','quantity':50},{'ingredient_name':'rice','quantity':100}]",20,2,"{cal:550,protein:35,fat:12,carb:55}","['asian','dinner']","medium"
r7,Greek Salad,"[{'ingredient_name':'tomato','quantity':100},{'ingredient_name':'onion','quantity':30},{'ingredient_name':'cheese','quantity':30}]",10,2,"{cal:220,protein:8,fat:10,carb:12}","['salad','vegetarian']","easy"
r8,Beef Tacos,"[{'ingredient_name':'beef','quantity':150},{'ingredient_name':'tortilla','quantity':2},{'ingredient_name':'onion','quantity':30}]",25,2,"{cal:600,protein:30,fat:25,carb:50}","['mexican','dinner']","medium"
r9,Quinoa Bowl,"[{'ingredient_name':'quinoa','quantity':120},{'ingredient_name':'tomato','quantity':80},{'ingredient_name':'avocado','quantity':50}]",20,2,"{cal:420,protein:12,fat:18,carb:50}","['healthy','vegetarian']","easy"
r10,Spinach Paneer,"[{'ingredient_name':'spinach','quantity':150},{'ingredient_name':'paneer','quantity':100},{'ingredient_name':'onion','quantity':40}]",30,3,"{cal:480,protein:20,fat:30,carb:20}","['indian','vegetarian']","medium"
r11,Salmon with Veg,"[{'ingredient_name':'salmon','quantity':180},{'ingredient_name':'carrot','quantity':80},{'ingredient_name':'potato','quantity':120}]",30,2,"{cal:620,protein:40,fat:30,carb:35}","['seafood','dinner']","medium"
r12,Chicken Caesar Salad,"[{'ingredient_name':'chicken','quantity':120},{'ingredient_name':'lettuce','quantity':80},{'ingredient_name':'cheese','quantity':30}]",15,2,"{cal:380,protein:28,fat:18,carb:12}","['salad','high_protein']","easy"
r13,Pancakes,"[{'ingredient_name':'flour','quantity':100},{'ingredient_name':'egg','quantity':1},{'ingredient_name':'milk','quantity':150}]",20,3,"{cal:350,protein:8,fat:10,carb:50}","['breakfast','sweet']","easy"
r14,Lentil Curry,"[{'ingredient_name':'lentils','quantity':150},{'ingredient_name':'onion','quantity':50},{'ingredient_name':'tomato','quantity':80}]",35,3,"{cal:420,protein:22,fat:6,carb:60}","['indian','vegetarian','healthy']","medium"
r15,Chicken Soup,"[{'ingredient_name':'chicken','quantity':150},{'ingredient_name':'carrot','quantity':80},{'ingredient_name':'onion','quantity':50}]",40,3,"{cal:300,protein:30,fat:8,carb:20}","['soup','comfort']","easy"
r16,Avocado Toast,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'avocado','quantity':50},{'ingredient_name':'tomato','quantity':30}]",8,1,"{cal:320,protein:6,fat:18,carb:30}","['breakfast','vegetarian']","easy"
r17,Beef Stew,"[{'ingredient_name':'beef','quantity':200},{'ingredient_name':'potato','quantity':150},{'ingredient_name':'carrot','quantity':80}]",90,4,"{cal:700,protein:45,fat:35,carb:50}","['dinner','hearty']","hard"
r18,Tofu Stir Fry,"[{'ingredient_name':'tofu','quantity':150},{'ingredient_name':'rice','quantity':100},{'ingredient_name':'onion','quantity':40}]",20,2,"{cal:400,protein:22,fat:18,carb:40}","['asian','vegetarian']","easy"
r19,Turkey Sandwich,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'turkey','quantity':80},{'ingredient_name':'cheese','quantity':30}]",10,1,"{cal:350,protein:22,fat:12,carb:30}","['lunch','sandwich']","easy"
r20,Mushroom Risotto,"[{'ingredient_name':'rice','quantity':150},{'ingredient_name':'mushroom','quantity':120},{'ingredient_name':'cheese','quantity':30}]",45,3,"{cal:520,protein:12,fat:18,carb:70}","['italian','vegetarian']","medium"
r21,Paneer Butter Masala,"[{'ingredient_name':'paneer','quantity':150},{'ingredient_name':'tomato','quantity':100},{'ingredient_name':'butter','quantity':20}]",30,2,"{cal:600,protein:25,fat:35,carb:25}","['indian','dinner','vegetarian']","medium"
r22,Chicken Curry,"[{'ingredient_name':'chicken','quantity':200},{'ingredient_name':'onion','quantity':100},{'ingredient_name':'tomato','quantity':80}]",35,3,"{cal:700,protein:40,fat:20,carb:30}","['indian','dinner']","medium"
r23,Grilled Sandwich,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'cheese','quantity':40},{'ingredient_name':'tomato','quantity':50}]",10,1,"{cal:320,protein:12,fat:14,carb:35}","['snack','breakfast']","easy"
r24,Poha,"[{'ingredient_name':'poha','quantity':80},{'ingredient_name':'onion','quantity':30},{'ingredient_name':'peanut','quantity':10}]",15,1,"{cal:250,protein:7,fat:8,carb:35}","['indian','breakfast','vegetarian']","easy"
r25,Upma,"[{'ingredient_name':'rava','quantity':80},{'ingredient_name':'onion','quantity':30},{'ingredient_name':'carrot','quantity':30}]",20,1,"{cal:230,protein:6,fat:7,carb:33}","['indian','breakfast','vegetarian']","easy"
r26,Chicken Biryani,"[{'ingredient_name':'chicken','quantity':200},{'ingredient_name':'rice','quantity':100},{'ingredient_name':'onion','quantity':50}]",40,3,"{cal:800,protein:38,fat:20,carb:90}","['indian','lunch']","hard"
r27,Vegetable Biryani,"[{'ingredient_name':'rice','quantity':100},{'ingredient_name':'carrot','quantity':40},{'ingredient_name':'potato','quantity':60}]",35,3,"{cal:600,protein:10,fat:12,carb:80}","['indian','lunch','vegetarian']","medium"
r28,Mixed Veg Curry,"[{'ingredient_name':'carrot','quantity':50},{'ingredient_name':'potato','quantity':50},{'ingredient_name':'onion','quantity':40}]",25,2,"{cal:350,protein:8,fat:10,carb:45}","['indian','vegetarian','dinner']","medium"
r29,Masala Dosa,"[{'ingredient_name':'rice','quantity':100},{'ingredient_name':'potato','quantity':80},{'ingredient_name':'onion','quantity':40}]",30,2,"{cal:400,protein:8,fat:12,carb:60}","['indian','breakfast']","medium"
r30,Idli Sambar,"[{'ingredient_name':'rice','quantity':80},{'ingredient_name':'lentils','quantity':50},{'ingredient_name':'carrot','quantity':30}]",25,2,"{cal:300,protein:10,fat:5,carb:50}","['indian','breakfast','vegetarian']","easy"
r31,Chapati with Curry,"[{'ingredient_name':'flour','quantity':100},{'ingredient_name':'onion','quantity':30},{'ingredient_name':'tomato','quantity':40}]",20,2,"{cal:400,protein:12,fat:8,carb:65}","['indian','lunch']","easy"
r32,Aloo Paratha,"[{'ingredient_name':'flour','quantity':100},{'ingredient_name':'potato','quantity':100},{'ingredient_name':'butter','quantity':10}]",25,2,"{cal:500,protein:10,fat:15,carb:70}","['indian','breakfast']","medium"
r33,Pav Bhaji,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'potato','quantity':100},{'ingredient_name':'onion','quantity':50}]",30,2,"{cal:450,protein:10,fat:12,carb:60}","['indian','snack']","medium"
r34,Paneer Tikka,"[{'ingredient_name':'paneer','quantity':150},{'ingredient_name':'onion','quantity':40},{'ingredient_name':'tomato','quantity':50}]",25,2,"{cal:420,protein:20,fat:25,carb:10}","['indian','snack','vegetarian']","medium"
r35,Palak Paneer,"[{'ingredient_name':'spinach','quantity':100},{'ingredient_name':'paneer','quantity':120},{'ingredient_name':'onion','quantity':40}]",30,2,"{cal:380,protein:22,fat:20,carb:18}","['indian','vegetarian']","medium"
r36,Chole Masala,"[{'ingredient_name':'chickpeas','quantity':150},{'ingredient_name':'onion','quantity':50},{'ingredient_name':'tomato','quantity':60}]",35,3,"{cal:450,protein:20,fat:12,carb:60}","['indian','vegetarian','lunch']","medium"
r37,Rajma Chawal,"[{'ingredient_name':'kidney_beans','quantity':150},{'ingredient_name':'rice','quantity':100},{'ingredient_name':'onion','quantity':40}]",40,3,"{cal:500,protein:22,fat:10,carb:75}","['indian','lunch']","medium"
r38,Grilled Chicken,"[{'ingredient_name':'chicken','quantity':200},{'ingredient_name':'butter','quantity':10},{'ingredient_name':'onion','quantity':30}]",25,2,"{cal:480,protein:40,fat:18,carb:2}","['dinner','high-protein']","easy"
r39,Avocado Toast,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'avocado','quantity':100},{'ingredient_name':'butter','quantity':5}]",10,1,"{cal:320,protein:8,fat:20,carb:28}","['breakfast','healthy']","easy"
r40,Quinoa Salad,"[{'ingredient_name':'quinoa','quantity':100},{'ingredient_name':'tomato','quantity':50},{'ingredient_name':'onion','quantity':30}]",15,2,"{cal:280,protein:9,fat:6,carb:40}","['salad','vegetarian','healthy']","easy"
r41,Lentil Soup,"[{'ingredient_name':'lentils','quantity':100},{'ingredient_name':'carrot','quantity':40},{'ingredient_name':'onion','quantity':40}]",30,3,"{cal:320,protein:14,fat:5,carb:45}","['soup','vegetarian']","easy"
r42,Pancakes,"[{'ingredient_name':'flour','quantity':100},{'ingredient_name':'milk','quantity':100},{'ingredient_name':'egg','quantity':1}]",20,2,"{cal:350,protein:9,fat:10,carb:55}","['breakfast','sweet']","easy"
r43,Scrambled Eggs,"[{'ingredient_name':'egg','quantity':2},{'ingredient_name':'butter','quantity':5},{'ingredient_name':'milk','quantity':20}]",10,1,"{cal:220,protein:14,fat:16,carb:3}","['breakfast','high-protein']","easy"
r44,Chicken Wrap,"[{'ingredient_name':'chicken','quantity':150},{'ingredient_name':'bread','quantity':1},{'ingredient_name':'cheese','quantity':30}]",20,1,"{cal:400,protein:28,fat:12,carb:35}","['snack','high-protein']","easy"
r45,Fish Curry,"[{'ingredient_name':'salmon','quantity':200},{'ingredient_name':'onion','quantity':50},{'ingredient_name':'tomato','quantity':50}]",30,3,"{cal:480,protein:38,fat:20,carb:10}","['seafood','dinner']","medium"
r46,Tofu Stir Fry,"[{'ingredient_name':'tofu','quantity':150},{'ingredient_name':'onion','quantity':50},{'ingredient_name':'carrot','quantity':50}]",20,2,"{cal:300,protein:20,fat:10,carb:25}","['asian','vegetarian']","medium"
r47,Mushroom Fried Rice,"[{'ingredient_name':'mushroom','quantity':100},{'ingredient_name':'rice','quantity':150},{'ingredient_name':'soy_sauce','quantity':20}]",20,2,"{cal:420,protein:12,fat:8,carb:65}","['asian','lunch']","medium"
r48,Beef Steak,"[{'ingredient_name':'beef','quantity':200},{'ingredient_name':'butter','quantity':10},{'ingredient_name':'onion','quantity':30}]",25,1,"{cal:600,protein:45,fat:40,carb:2}","['dinner','high-protein']","medium"
r49,Tofu Curry,"[{'ingredient_name':'tofu','quantity':150},{'ingredient_name':'tomato','quantity':60},{'ingredient_name':'onion','quantity':40}]",25,2,"{cal:320,protein:18,fat:10,carb:25}","['asian','vegetarian','dinner']","medium"
r50,Vegetable Fried Rice,"[{'ingredient_name':'rice','quantity':150},{'ingredient_name':'carrot','quantity':50},{'ingredient_name':'onion','quantity':50}]",20,2,"{cal:400,protein:8,fat:8,carb:65}","['asian','lunch','vegetarian']","easy"
r51,Greek Yogurt Bowl,"[{'ingredient_name':'yogurt','quantity':150},{'ingredient_name':'banana','quantity':80},{'ingredient_name':'honey','quantity':10}]",5,1,"{cal:250,protein:12,fat:5,carb:40}","['breakfast','healthy']","easy"
r52,Spinach Omelette,"[{'ingredient_name':'egg','quantity':2},{'ingredient_name':'spinach','quantity':50},{'ingredient_name':'cheese','quantity':20}]",10,1,"{cal:240,protein:15,fat:18,carb:3}","['breakfast','high-protein']","easy"
r53,Lemon Rice,"[{'ingredient_name':'rice','quantity':150},{'ingredient_name':'lemon','quantity':20},{'ingredient_name':'onion','quantity':30}]",15,2,"{cal:320,protein:7,fat:8,carb:55}","['indian','lunch','vegetarian']","easy"
r54,Samosa,"[{'ingredient_name':'flour','quantity':80},{'ingredient_name':'potato','quantity':100},{'ingredient_name':'oil','quantity':20}]",30,2,"{cal:400,protein:6,fat:22,carb:45}","['indian','snack']","medium"
r55,Vegetable Sandwich,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'tomato','quantity':40},{'ingredient_name':'onion','quantity':30}]",10,1,"{cal:280,protein:8,fat:10,carb:35}","['snack','vegetarian']","easy"
r56,Fruit Salad,"[{'ingredient_name':'banana','quantity':50},{'ingredient_name':'apple','quantity':50},{'ingredient_name':'orange','quantity':50}]",5,1,"{cal:150,protein:2,fat:1,carb:35}","['dessert','healthy','vegetarian']","easy"
r57,Mushroom Soup,"[{'ingredient_name':'mushroom','quantity':100},{'ingredient_name':'milk','quantity':100},{'ingredient_name':'butter','quantity':10}]",20,2,"{cal:250,protein:9,fat:14,carb:18}","['soup','vegetarian']","easy"
r58,Tofu Fried Rice,"[{'ingredient_name':'tofu','quantity':100},{'ingredient_name':'rice','quantity':150},{'ingredient_name':'soy_sauce','quantity':20}]",20,2,"{cal:420,protein:16,fat:9,carb:65}","['asian','lunch']","medium"
r59,Chicken Caesar Salad,"[{'ingredient_name':'chicken','quantity':120},{'ingredient_name':'lettuce','quantity':80},{'ingredient_name':'cheese','quantity':20}]",15,1,"{cal:320,protein:30,fat:15,carb:8}","['salad','high-protein']","easy"
r60,Turkey Sandwich,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'turkey','quantity':100},{'ingredient_name':'cheese','quantity':20}]",10,1,"{cal:330,protein:22,fat:10,carb:30}","['snack','high-protein']","easy"
r61,Beef Stir Fry,"[{'ingredient_name':'beef','quantity':150},{'ingredient_name':'onion','quantity':40},{'ingredient_name':'soy_sauce','quantity':20}]",20,2,"{cal:450,protein:35,fat:15,carb:10}","['asian','dinner']","medium"
r62,Lentil Curry,"[{'ingredient_name':'lentils','quantity':150},{'ingredient_name':'onion','quantity':40},{'ingredient_name':'tomato','quantity':50}]",30,3,"{cal:380,protein:18,fat:8,carb:55}","['indian','vegetarian']","medium"
r63,Tofu Salad,"[{'ingredient_name':'tofu','quantity':100},{'ingredient_name':'lettuce','quantity':60},{'ingredient_name':'tomato','quantity':50}]",10,1,"{cal:220,protein:15,fat:8,carb:10}","['salad','vegetarian']","easy"
r64,Chili Chicken,"[{'ingredient_name':'chicken','quantity':150},{'ingredient_name':'onion','quantity':40},{'ingredient_name':'soy_sauce','quantity':20}]",25,2,"{cal:480,protein:38,fat:15,carb:12}","['asian','spicy','dinner']","medium"
r65,Garlic Noodles,"[{'ingredient_name':'pasta','quantity':100},{'ingredient_name':'butter','quantity':10},{'ingredient_name':'garlic','quantity':20}]",15,2,"{cal:420,protein:9,fat:14,carb:60}","['asian','vegetarian']","easy"
r66,Avocado Salad,"[{'ingredient_name':'avocado','quantity':100},{'ingredient_name':'lettuce','quantity':50},{'ingredient_name':'tomato','quantity':50}]",10,1,"{cal:250,protein:5,fat:20,carb:10}","['salad','healthy']","easy"
r67,Protein Smoothie,"[{'ingredient_name':'milk','quantity':200},{'ingredient_name':'banana','quantity':100},{'ingredient_name':'peanut','quantity':20}]",5,1,"{cal:300,protein:15,fat:10,carb:35}","['drink','healthy','high-protein']","easy"
r68,Chocolate Cake,"[{'ingredient_name':'flour','quantity':100},{'ingredient_name':'milk','quantity':100},{'ingredient_name':'butter','quantity':20}]",40,4,"{cal:450,protein:8,fat:22,carb:60}","['dessert','sweet']","medium"
r69,Pasta Salad,"[{'ingredient_name':'pasta','quantity':100},{'ingredient_name':'tomato','quantity':50},{'ingredient_name':'cheese','quantity':30}]",15,2,"{cal:350,protein:10,fat:12,carb:45}","['salad','vegetarian']","easy"
r70,Vegetable Stir Fry,"[{'ingredient_name':'carrot','quantity':50},{'ingredient_name':'onion','quantity':50},{'ingredient_name':'broccoli','quantity':50}]",15,2,"{cal:220,protein:6,fat:6,carb:35}","['asian','vegetarian','healthy']","easy"
